offer,date_time,conversion_ip,source,sub_id_1,sub_id_2,sub_id_3,sub_id_4,sub_id_5,payout,status
1346 API_USD,2016-05-09 12:22:17,198.232.218.254,,,,,,wwcn-417529,1.8,approved
1346 API_USD,2016-05-09 12:17:41,198.232.218.254,,,,,,wwcn-415604,1.8,approved
1346 API_USD,2016-05-09 12:14:20,198.232.218.254,,,,,,wwcn-336819,1.8,approved
1346 API_USD,2016-05-09 12:11:47,198.232.218.254,,,,,,wwcn-405637,1.8,approved
1346 API_USD,2016-05-09 12:08:34,198.232.218.254,,,,,,wwcn-374723,1.8,approved
1346 API_USD,2016-05-09 12:06:22,198.232.218.254,,,,,,wwcn-352533,1.8,approved
1346 API_USD,2016-05-09 11:58:23,198.232.218.254,,,,,,wwcn-392993,1.8,approved
1346 API_USD,2016-05-09 11:57:47,198.232.218.254,,,,,,wwcn-291778,1.8,approved
1346 API_USD,2016-05-09 11:55:22,198.232.218.254,,,,,,wwcn-291778,1.8,approved
1346 API_USD,2016-05-09 11:42:17,198.232.218.254,,,,,,wwcn-7607,1.8,approved
1346 API_USD,2016-05-09 11:39:36,198.232.218.254,,,,,,wwcn-9580,1.8,approved
1346 API_USD,2016-05-09 11:37:42,198.232.218.254,,,,,,wwcn-9355,1.8,approved
1346 API_USD,2016-05-09 11:37:40,198.232.218.254,,,,,,wwcn-20297,1.8,approved
1346 API_USD,2016-05-09 11:32:00,198.232.218.254,,,,,,wwcn-6304,1.8,approved
1346 API_USD,2016-05-09 11:31:28,198.232.218.254,,,,,,wwcn-336963,1.8,approved
1346 API_USD,2016-05-09 11:31:13,198.232.218.254,,,,,,wwcn-9580,1.8,approved
1346 API_USD,2016-05-09 11:26:27,198.232.218.254,,,,,,wwcn-358453,1.8,approved
1346 API_USD,2016-05-09 11:25:41,198.232.218.254,,,,,,wwcn-412238,1.8,approved
1346 API_USD,2016-05-09 11:25:18,198.232.218.254,,,,,,wwcn-7946,1.8,approved
